살림,음식,가족&결혼,패션&뷰티,건강/취미/스포츠,경제경영,고전,과학,공학,농업,동식물,수학,의학,만화,사회과학,외국문학작품,한국문학작품,문학잡지,문학이론,수험서/자격증,어린이 이과,어린이 문과,어린이 동화/명작/고전,어린이 문화&예술&인물,어린이 일반,어린이 언어,에세이,여행,역사,예술/대중문화,영어,일본어,중국어,한자,국어,기타외국어,번역/통역,유아,"인문학 일반
(인문학 기타)",철학,신화,종교,심리학,자기계발,잡지/전집,"좋은부모
(자녀교육)",청소년,컴퓨터/모바일
,,,,54711,3104,,51337,,,,,,33125,51073,,,,,,,,,,,,,50845,167,51112,,,,,,,,70395,51419,2547,,,,,,,,2756
,,,,54710,2408,,51335,,,,,,9680,51090,,,,,,,,,,,,,63943,52607,51054,,,,,,,,35122,,51457,,,,,,,,2684
,,,,54708,3101,,51353,,,,,,7443,51075,,,,,,,,,,,,,63945,52609,51057,,,,,,,,35147,,51446,,,,,,,,1714
,,,,53523,,,,,,,,,3749,51074,,,,,,,,,,,,,63862,52608,51056,,,,,,,,35123,,51451,,,,,,,,2753
,,,,147647,,,,,,,,,150895,51081,,,,,,,,,,,,,63863,5558,51053,,,,,,,,35126,,51455,,,,,,,,6188
,,,,53567,,,,,,,,,69398,51141,,,,,,,,,,,,,50854,5557,51049,,,,,,,,35141,,51449,,,,,,,,35322
,,,,53564,,,,,,,,,2552,51161,,,,,,,,,,,,,50855,5559,51047,,,,,,,,35142,,51463,,,,,,,,6627
,,,,53573,,,,,,,,,,51162,,,,,,,,,,,,,50829,52614,51042,,,,,,,,35148,,51464,,,,,,,,2687
,,,,53574,,,,,,,,,,51159,,,,,,,,,,,,,50856,62611,51051,,,,,,,,35149,,51465,,,,,,,,6720
,,,,53572,,,,,,,,,,51150,,,,,,,,,,,,,50857,121,50963,,,,,,,,120084,,51453,,,,,,,,6360
,,,,140262,,,,,,,,,,51145,,,,,,,,,,,,,50864,130,50958,,,,,,,,,,51445,,,,,,,,6361
,,,,53517,,,,,,,,,,51147,,,,,,,,,,,,,50865,1955,50962,,,,,,,,,,51475,,,,,,,,2502
,,,,53540,,,,,,,,,,51154,,,,,,,,,,,,,63684,116,51020,,,,,,,,,,51476,,,,,,,,6357
,,,,53552,,,,,,,,,,51149,,,,,,,,,,,,,73807,117,51012,,,,,,,,,,51480,,,,,,,,6350
,,,,53718,,,,,,,,,,51144,,,,,,,,,,,,,63981,118,51195,,,,,,,,,,51481,,,,,,,,6385
,,,,53543,,,,,,,,,,51152,,,,,,,,,,,,,63982,1960,51211,,,,,,,,,,51482,,,,,,,,6386
,,,,53544,,,,,,,,,,51129,,,,,,,,,,,,,50875,3826,51009,,,,,,,,,,51483,,,,,,,,35323
,,,,53546,,,,,,,,,,51136,,,,,,,,,,,,,63848,1961,51003,,,,,,,,,,51484,,,,,,,,6351
,,,,53548,,,,,,,,,,65238,,,,,,,,,,,,,63869,1962,51006,,,,,,,,,,51485,,,,,,,,6352
,,,,53551,,,,,,,,,,51131,,,,,,,,,,,,,63829,3825,51000,,,,,,,,,,51486,,,,,,,,6437
,,,,53549,,,,,,,,,,51134,,,,,,,,,,,,,63513,27795,51018,,,,,,,,,,51487,,,,,,,,6996
,,,,53550,,,,,,,,,,51308,,,,,,,,,,,,,63514,2032,51014,,,,,,,,,,51489,,,,,,,,7006
,,,,53578,,,,,,,,,,51311,,,,,,,,,,,,,,89,51025,,,,,,,,,,51490,,,,,,,,36134
